condition,case,model,parameter,true,estimated,absolute_error
Clean,8,Selected regularized PINN,rho_s,0.08372955837867135,0.0803982993237955,0.003331259054875857
Clean,8,Selected regularized PINN,v0_s,0.08787426301004327,0.0771792680438371,0.01069499496620617
Clean,8,Selected regularized PINN,kappa_f,7.17674098814835,7.228364080217794,0.05162309206944382
Clean,8,Selected regularized PINN,theta_f,0.016667955226551016,0.029115111274789867,0.012447156048238851
Clean,8,Selected regularized PINN,sigma_f,0.3740442753161844,0.3520539271173822,0.02199034819880219
Clean,8,Selected regularized PINN,rho_f,0.11102127946639595,0.11090783201131926,0.0001134474550766873
Clean,8,Selected regularized PINN,v0_f,0.13607401663868543,0.14670194863986769,0.010627932001182255
Clean,9,Original Double Heston,kappa_s,0.6223305492556398,0.6677066382257123,0.0453760889700725
Clean,9,Original Double Heston,theta_s,0.0884108423906838,0.09106968925498646,0.0026588468643026636
Clean,9,Original Double Heston,sigma_s,0.17833303049008964,0.148864355907368,0.02946867458272165
Clean,9,Original Double Heston,rho_s,0.11671212050378155,0.09637957782767292,0.020332542676108623
Clean,9,Original Double Heston,v0_s,0.02731622625841652,0.03082484540544041,0.0035086191470238906
Clean,9,Original Double Heston,kappa_f,3.271507423175434,3.4370804911123347,0.16557306793690074
Clean,9,Original Double Heston,theta_f,0.06753398727346203,0.06245672925486694,0.005077258018595092
Clean,9,Original Double Heston,sigma_f,0.32086773789489964,0.3445566622390294,0.02368892434412978
Clean,9,Original Double Heston,rho_f,-0.47038254257148143,-0.47434875404625676,0.003966211474775327
Clean,9,Original Double Heston,v0_f,0.039965107598384904,0.036296562134344235,0.0036685454640406692
Clean,9,Unregularized matched PINN,kappa_s,0.6223305492556398,0.5956458221005828,0.026684727155056986
Clean,9,Unregularized matched PINN,theta_s,0.0884108423906838,0.08776738571535811,0.0006434566753256848
Clean,9,Unregularized matched PINN,sigma_s,0.17833303049008964,0.15085636545725928,0.02747666503283036
Clean,9,Unregularized matched PINN,rho_s,0.11671212050378155,0.16184276140827436,0.045130640904492814
